id;name;image_src;price;calories;proteins;fats;carbohydrates;gluten_free;vegan;vegetarian;dairy_free
636230;Broccoli with cheese soup;;66.47;120.38;5.08;2.92;13.45;False;False;True;False
632812;Asian Chicken and Broccoli With Chili Garlic Sauce;;241.97;545.62;9.02;1.85;83.47;True;False;False;True
633942;Balsamic Roasted Vegetables;;190.8;289.98;14.45;2.05;38.6;True;True;True;True
632347;Ancient Grains Bread;;82.62;284.82;2.99;0.42;53.89;False;False;True;False
975070;Instant Pot Chicken Taco Soup;;271.9;345.99;7.81;1.18;49.52;True;False;False;True
649886;Lemony Greek Lentil Soup;;88.42;368.09;3.75;0.55;64.17;True;True;True;True
659927;Shrimp and Avocado Salad;;1157.26;639.28;37.05;5.36;53.29;True;False;False;True
716217;Vietnamese Pancakes with Vegetables, Herbs and a Fragrant Dipping Sauce (B�nh X�o);;318.98;394.11;22.5;13.87;43.98;True;False;True;True
636608;Butternut Squash, Arugula and Goat Cheese Quinoa;;251.24;492.21;23.9;4.67;57.7;True;False;True;False
795514;Spaghetti Squash & Tomato Basil Meat Sauce;;507.5;669.9;28.82;7.71;52.78;True;False;False;True
715538;What to make for dinner tonight?? Bruschetta Style Pork & Pasta;;195.54;591.44;13.42;5.23;69.02;False;False;False;False
659109;Salmon Quinoa Risotto;;382.96;456.43;19.77;2.75;48.0;True;False;False;True
644826;Gluten Free Dairy Free Sugar Free Chinese Chicken Salad;;305.98;363.77;15.42;2.62;28.7;True;False;False;True
649411;Lebanese Tabouleh;;407.95;212.51;15.01;2.1;18.47;False;True;True;True
640117;Corn-Crusted Fish Tacos With Jalapeno-Lime Sauce and Spicy Black Beans;;442.31;1342.41;58.66;9.56;154.2;True;False;False;False
1000566;Easy Instant Pot Beef Tips and Rice;;220.3;370.73;10.6;3.68;12.59;True;False;False;True
664786;Venison Stew;;202.02;316.17;6.94;2.3;29.72;False;False;False;True
647634;Hummus with roasted orange peppers;;167.37;392.45;20.17;2.75;45.79;True;True;True;True
657719;Radish & Snap Pea Quinoa Salad;;168.23;262.13;7.31;1.23;39.09;True;False;True;False
659143;"Salmon, Watercress, Fennel and Baby Beetroot Salad With Lemony ""Caviar"" Dressing";;427.76;440.07;29.1;4.24;18.51;True;False;False;True
645978;Ground Turkey Stuffed Peppers;;299.64;493.87;17.75;6.57;52.81;True;False;False;False
715544;Brown Butter Twice Baked Sweet Potatoes;;355.67;676.68;44.06;20.3;55.71;True;False;False;False
716364;Rice and Peas with Coconut Curry Mackerel;;243.53;628.33;33.93;24.08;51.64;True;False;False;True
633226;Baby Bok Choy Stir Fry;;109.24;139.28;8.96;3.34;12.38;True;True;True;True
646512;Salmon Caesar Salad;;300.93;393.21;28.96;6.62;7.17;True;False;False;False
641422;Delightful Kale and Cabbage Slaw;;61.75;122.38;8.12;1.13;11.55;True;False;False;True
631868;4 Ingredient Chicken Pot Pie;;440.62;860.57;30.72;8.72;61.48;False;False;False;True
633711;Baked Penne;;72.55;241.21;1.3;0.19;49.1;False;True;True;True
655573;Penne Arrabiata;;104.84;466.25;8.84;1.3;82.48;False;True;True;True
641387;Delicious Creamy Lentils and Chestnuts Soup;;80.08;451.99;14.98;2.09;60.09;True;True;True;True
715567;Beef Fajita Marinade;;891.1;676.6;39.66;11.42;7.74;True;False;False;True
652855;My Favorite Navy Bean Soup;;85.89;218.39;1.06;0.13;40.65;True;False;False;True
638626;Chimichurri Skirt Steak with Grilled Asparagus;;490.25;409.46;29.97;9.11;11.65;True;False;False;True
715481;Easy Baked Pork Chop;;318.84;520.42;27.7;7.95;5.96;True;False;False;True
782619;Mushroom Goat Cheese Baked Eggs;;452.84;755.6;25.9;11.79;91.16;False;False;True;False
655706;Peppery Absorption-Cooked Red-Wine Capellini;;393.69;680.79;13.4;2.07;108.23;False;False;False;True
661122;Spicy lentil and black rice soup with kale, spinach and leek;;83.87;202.68;1.25;0.21;38.01;True;True;True;True
1697645;Cauliflower Rice;;522.83;455.56;30.28;4.81;42.03;True;True;True;True
654905;Pasta With Chickpeas and Kale;;243.81;609.1;7.46;1.04;111.81;False;True;True;True
635679;Borani Esfanaaj;;114.13;88.52;2.4;0.83;14.64;True;False;True;False
657698;Quinoa, Tomato, Green Onion Side Salad;;138.73;396.33;18.24;2.44;50.04;True;True;True;True
642121;Easy Tabouleh;;463.72;716.7;44.41;6.15;74.15;False;True;True;True
665378;Winter Fattoush Salad;;123.22;345.17;9.43;1.97;49.67;False;False;True;False
638166;Chicken Liver Salad;;180.87;613.34;42.48;11.35;10.1;True;False;False;True
637297;Cauliflower Chickpea Stew;;140.25;455.29;7.76;1.16;86.28;True;True;True;True
1046982;How to Make the Perfect Sweet Potato Sloppy Joes;;481.76;684.15;18.12;2.94;86.08;True;False;False;True
665379;Winter Kimchi;;1050.81;366.05;3.36;0.67;73.36;True;False;False;True
716342;Chicken Suya;;167.49;564.44;35.11;9.87;21.44;True;False;False;True
654959;Pasta With Tuna;;168.12;422.67;10.32;2.35;57.66;False;False;False;False
660231;Skinny Veggie Fried Rice;;125.93;182.93;8.9;1.28;24.05;True;True;True;True
665000;Watercress Salad With Miso-Lime Dressing;;178.27;111.29;7.37;1.05;9.74;True;True;True;True
647875;Indian-Style Dill and Turmeric Potato Salad;;117.24;416.13;14.5;2.04;65.96;True;True;True;True
664419;Vegan Colcannon Soup;;148.35;202.64;4.73;0.66;36.54;True;True;True;True
640321;Crab Stacks;;646.04;729.84;26.14;3.93;69.2;True;False;False;True
636604;Butternut Squash Tofu Salad With Toasted Hazelnuts;;154.73;268.53;11.58;1.65;33.71;True;True;True;True
663985;Turkey and Rice Stuffed Acorn Squash;;295.38;411.2;9.77;1.56;57.5;False;False;False;True
659689;Seasonal Autumn Stew;;172.76;242.21;4.97;0.78;49.12;True;True;True;True
646191;Ham and Swiss Panini With Mushrooms and Kale;;174.51;413.03;8.01;2.07;59.96;False;False;True;False
658070;Red Lentil Salad;;181.69;547.9;22.44;2.16;63.14;True;True;True;True
640921;Stuffed Artichoke Main Dish;;357.85;519.41;8.99;1.89;56.39;True;False;False;False
644390;Garlicky Roasted Kale;;185.84;246.1;18.61;2.51;16.19;True;True;True;True
652038;Minted Pea & Spinach Soup;;97.28;184.42;4.66;2.71;29.81;True;False;True;False
661365;Spinach, Tomato & Onion Couscous;;361.48;565.37;24.24;5.22;78.51;False;False;True;False
641072;Curried Chickpeas and Vegetables;;204.82;447.93;11.2;1.31;76.81;True;False;False;True
646930;Homemade Broccoli Cheddar Soup;;324.76;495.9;23.55;10.45;54.5;True;False;False;False
648279;Italian Tuna Pasta;;209.48;463.7;2.91;0.59;70.33;False;False;False;True
660736;Soy Ginger Glazed Halibut with Ginger Peach Relish;;902.32;381.51;10.43;1.68;16.74;True;False;False;True
633754;Baked Ratatouille;;861.26;1031.89;69.71;21.61;82.53;True;False;True;False
661074;Spicy Cauliflower;;216.16;116.48;1.59;0.5;23.24;True;True;True;True
633766;Baked Rigatoni;;185.54;480.68;10.03;4.5;74.83;False;False;True;False
1096185;North by Northwest Couscous Salad;;228.59;635.75;31.69;3.15;76.7;False;True;True;True
637157;Carolina Caviar - Black Bean Salsa;;228.65;432.89;17.17;2.52;65.57;True;True;True;True
640141;Corned Beef Ribs With Brown Sugar and Mustard Glaze;;595.05;1031.03;43.37;13.63;111.44;False;False;False;True
794527;Chia Yogurt Apricot Bowl;;446.04;730.09;31.96;5.12;60.37;True;False;True;False
658515;Roasted Brussels Sprouts With Garlic;;139.22;232.73;18.02;2.52;16.22;True;True;True;True
792072;Dressed Up Kale Salad;;36.59;60.98;2.38;0.31;8.44;True;True;True;True
645555;Green Tomato Salad;;185.28;180.37;14.88;2.27;11.01;True;True;True;True
660257;Slow Braised Spicy Pork;;242.54;296.38;10.22;3.24;25.21;True;False;False;True
730914;Basil Infused Balsamic Oven Baked Chicken;;313.8;543.55;29.85;8.71;10.42;True;False;False;False
657747;Rainbow trout with basil pea puree;;262.26;192.73;1.29;0.23;35.39;True;False;False;True
646051;Gulasch;;146.16;492.75;1.49;0.31;110.95;True;True;True;True
635675;Boozy Bbq Chicken;;332.73;734.08;32.92;7.09;73.59;True;False;False;True
642602;Farro salad with parsley pesto;;279.93;411.67;19.67;2.98;52.26;False;False;False;False
665527;Yellow Squash Noodles with Tomato Basil Sauce;;280.23;220.54;12.85;1.88;25.35;True;True;True;True
649926;Lentil Rice Soup;;40.71;204.33;0.77;0.13;36.82;True;True;True;True
653682;One Pot Veggie Quinoa;;243.13;446.89;18.92;5.73;57.12;True;False;True;False
658700;Roasted Vegetables;;174.71;273.5;7.77;1.87;47.19;True;False;False;False
632935;Asparagus Lemon Risotto;;390.08;877.09;6.53;1.9;176.26;True;False;False;False
642892;Fire Roasted Tomato Chutney;;309.85;143.18;2.25;0.1;27.86;True;True;True;True
633120;Avocado and Cannellini Bean Salad;;310.77;437.41;35.44;4.85;31.19;True;True;True;True
1096186;Quinoa Tabouli Salad;;317.89;244.17;8.48;1.11;35.6;True;True;True;True
660290;Slow Cooker Lamb Curry;;360.46;571.21;24.1;8.69;18.81;True;False;False;False
1095791;Quinoa Vegetable Salad;;342.2;494.12;19.47;2.59;67.58;True;False;False;True
1096213;Creamy, Healthy Asparagus Soup with Avocado and Fennel;;344.01;238.35;15.01;2.22;24.07;True;False;False;False
1095849;Zucchini Salad Pita Pockets;;220.91;601.96;22.45;5.74;85.64;False;False;True;False
648257;Italian Steamed Artichokes;;375.6;223.33;0.85;0.2;49.94;True;True;True;True
642346;Egyptain Cauliflower Side Salad;;150.58;202.47;15.09;2.22;16.78;True;True;True;True
660368;Smoked Salmon Eggs Benedict With Lemon Dill Hollandaise;;632.58;610.96;33.72;13.89;33.05;False;False;False;False
715554;Delicious Pan Fried Trout;;686.57;639.23;33.54;5.32;24.34;False;False;False;True
632718;Armenian Stew;;81.84;327.84;2.52;0.29;63.12;True;True;True;True
639957;Colorful Tomato and Spinach Seafood Pasta;;396.38;470.31;10.5;2.17;58.34;False;False;False;False
634792;Beet Salad With Peppers and Lettuce;;316.86;209.54;5.56;0.78;39.48;True;True;True;True
637440;Chapchae (Korean Stir-Fried Noodles);;208.61;402.1;14.62;2.05;64.69;False;True;True;True
638741;Chipotle Black Bean Soup with Avocado Cream;;134.87;283.63;9.42;1.91;40.47;True;False;True;False
1096260;Baked Lemon Salmon;;447.06;397.24;25.11;3.65;10.25;True;False;False;True
660926;Spice-Rubbed Lemon Barbecue Salmon;;454.9;336.87;12.16;2.19;23.42;True;False;False;True
652607;Mushroom & Cabbage Brown Rice Congee;;104.88;238.49;10.19;1.35;32.0;True;True;True;True
665138;White Bean & Squash Dip;;198.52;541.84;5.83;0.91;118.06;True;True;True;True
652594;Mung Bean Sprout and Quinoa Salad;;149.47;358.94;11.33;8.08;50.96;True;True;True;True
